workload,baseline_mpps_mean,baseline_mpps_stdev,native_mpps_mean,native_mpps_stdev,kfunc_mpps_mean,kfunc_mpps_stdev,native_vs_kfunc_pct,baseline_nspp_mean,native_nspp_mean,kfunc_nspp_mean
drop,10.9372335,0.008801263119575513,7.4375338,0.003697192742849345,7.1563648,0.0028528599996805537,3.9289360989534616,36.3529215,85.8991989,91.2482778
nat,2.655147,0.00144215825915341,3.0760693,0.0036405020120857693,3.0193344,0.0038913149791126303,1.879053211197812,237.2630051,292.086696,298.7342665
routing,3.9852422,0.009181365558080674,3.181299,0.009959353783141627,3.1363785,0.0013405280261482065,1.4322410385098516,213.9602499,282.10538529999997,286.788291
tunnel,3.5809837,0.0009439173751504825,4.2309737,0.00201436458412526,4.1098882,0.001536770119438968,2.9461993637685646,106.2444895,196.0863078,203.1505811
